id,component,fold
1628,obj:251666bfc0236312c767b9b59c2911e12952c75106eb1345b3f0210d996da32c,4
1629,obj:3de32669be321eeba8846c0f705058d4bac67dd5a62f8e09e66273aeec8462e3,0
1630,obj:e4bcc3390c7de2e551b8aaed96d8a9586c5c0c54537a52036cbec4fcb74e2cfc,1
1631,obj:0bea36dfe869410e0a45d68171a865a602297d5aae75cab85e2342119017bcae,1
1632,obj:374bd7d81845e90863837cc0896fb71b5f1fa638df53ca3744e2392664e3c7d6,4
1633,obj:a2d5bb1c231e1947a79ae93d2aa4f36df54ff1af6a969495731437447ff2dbfc,2
1634,obj:558c517069e6b1447edc0a86845067f002962b9c9c0828ca69f7b839f53c40ca,2
1635,obj:80cbe125c30a1a0a10ab293fa799745596d06e18a0cd32de991019c3898a5397,3
1636,obj:2f989316b0fe626dc7395ea988d7b35045ab4d51208cf8166786b435b59d8f40,3
1637,obj:6f42c582dd6e7b27eddd6730b11995ca503093dad0f4987c546821d807630805,4
1638,obj:1a5c13c22b2d9927934f3af0c8900e9df91dd56cf50360c80b72926ecb879b0b,4
1639,obj:2a8a1ac90b84e8a90778e7769aacbf6ff39ef26962cabdf177f51263512ddb0f,3
1640,obj:f6dfc7ad0a24a1574ccbd2262b70e278ce1e558575f6c0a7b21e434b0fcaae29,2
1641,obj:e32beb778d6d22b48ab0e15799222251788e76aa7d6b01049e98753dcc65f203,4
1642,obj:307782ff255b08a63ac861f3eec017af9dce892ea7f0292d9bb64ddf9d176a0d,4
1643,obj:591b3d575401c3435b3c155d5ab4be39c2f28bdd7212e539699a82fd4276ecc1,3
1644,obj:99a214c440e140113a8e51b40e78c1c26908eaedcfb0c043ac072f47b503f34c,0
1645,obj:0c7a501953f4cd983d2209680e70169e90fefee34686abe195a9f14e92a0b682,3
1646,obj:87e532692b59e8c8c249589b76bafea248d285446e8ea4c5c5178dfc72ab840c,4
1647,obj:979b79fad9bba49556da2d384d5048e1105dfca35c0a5121cd75ac2446556a59,4
1648,obj:5c83acccf968597080b7d1e424bb3953dfc6caf6b244980908beb2d25eb753c1,4
1649,obj:91b87ca334087c79c6d4e87b003f67751d20dea3ee777fcb7afba5bb906619fd,0
1650,obj:34412624ee154ab87e337844cd36ee98e681770e2cfccf77f4ade43e883e370a,0
1651,obj:a72bbca6ffcda350396a2e54914137ecebbb3c7b296f0f0050f3851ec7240052,3
1652,obj:5f81fb22bdde6ef12fc1f1fafa9483cdaddec7f3d2e8f12df7d66ae8e657a4de,2
1653,obj:ab2268181fac229995f14cfc7698e8352425f6e045047d0efdef0f16ffec7480,1
1654,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
1655,obj:d1339990188ef132cf5b89eb2ba070328ba5aab2a2695cab37136f8f9723dd97,4
1656,obj:c30267263715515af4e13477e0ce970a105417f63bdad4f24996bf29ce699d13,4
1657,obj:79e7defd41dc3f5b3a8943c22d845e77e1032b9eafbaa2916fcf133efd4e7e77,1
1658,obj:5ce13534406b9b2c278f0690a2d0ca673fa103d3ddbab508495359da2ea07088,2
1659,obj:6b2e0ec44714226c26f535ad06a7122223928a4608ea4205b4ebc2f5c1ea2b30,0
1660,obj:62f2b97315040ba922ab2c4aacc61b4f8184d6b2037c3cbec23f9b068c6c3eba,4
1661,obj:f75e50868bfd82a47d89b91ac5aa40eeec075ad3309b910342da4daa6e7e8dad,2
1662,obj:df38f56ff9481f59bb2d97b7e8266d8f555066a1cee765f824b3e9595c2a06c8,3
1663,obj:19f8a625aee1ed92ff24e1b594034eb661bab097d960c1f49fe03da6518c374a,3
1664,obj:5c609aaf1f61d1744c5bcd2669dfebed66c692a4063d4901ce6dfb541d8fbae6,2
1665,obj:ede78d887c0057942db3c59a7a8f03e30f228e6bbfb5455c275b0238cb581cb7,1
1666,obj:6a42d4c7ab299f471ab52d3534d8fad29dddf68383d742623aa90332cbecee8b,2
1667,obj:cbd586a18e05f68ea368a75e8e6f2dd22682119cd13cc2c0e0a0a13a441e382b,0
1668,obj:14232e3ed027da037b75167f43dab2daa945aab669b6c361ea3f1302de2eba4b,0
1669,obj:22545cbb6659ca1fb1729a007057df66c60eda008592ac5d6ba3ec422807e939,0
1670,obj:e185f3cb87dd6f96ecd6dcb725a2ef73b0afeac90bea1f6f6108eb004dcb9be4,4
1671,obj:81c3e8686e1e2a7649c7ff1ad945a427d567b94ff435d3357e76ae92075cfd76,4
1672,obj:cbc63221f137748a3b8fee24f07ab1319043c296f71a574ff4dc47b72e0adcca,2
1673,obj:45d2e83a728f903db329f7b96b4127877937f3f70861161f9aaf770970ac30cc,1
1674,obj:c003590c6350a0339fd0c88bffa2ae03a2cae6da986fe79e237e676a6762303b,4
1675,obj:d372980c8396ea0b51b2d560464b07ca36ca1abae8eeed65ba6a5edcf4e16aff,3
1676,obj:8553fd1f0c029d32579e4d47393463578258008cd6bea9e6459b8e0e39373aff,1
1677,obj:2555e4e4aa1f2f5ea33327eff2ff3ba6d5e0b04fc41cf6f648b1b53cf71c05b2,3
1678,obj:29aff9a894b516755db62f28edc58c050cbfaa9aed0680d05a260cd201df930c,1
1679,obj:34c7f48391498258c43d8e1d5039c78a38e45a63f892e3c98b19d66f21c06808,1
1680,obj:babd21227561eede84d1f70d6ff5ea0dd19b88a6cb13f9c2db8aa6549f8307cf,1
1681,obj:54136649e147d916831de6ebb24cc38d16497cd88828f6961c48103357d8d362,3
1682,obj:faa6b422e0790ecd1547ee0ce03ba75b58f96dbcd06ad9c59bff6de74b4502e2,2
1683,obj:70d2ffb95894f25e876d58414b38fbf774d947765678b750678adeafcbb88767,3
1684,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
1685,obj:5d1f366bd1cc6d12fda8e6203a91821d631d4776719252f007174d7541784723,4
1686,obj:c839f10d74aa14727f1f129bb9e822d92c5fe34acc3aef4b501f0ae67704b07c,1
1687,obj:a369645adb02c50787f9fa5237b39aa43eebbf3c94ff79a1363a74de666337b3,3
1688,obj:da1ab166954061ebfc0c564f831227aa3d9fdfa76af5f8ac72ce570342126d07,4
1689,obj:0f858233b9387629074319656f40dfcb6f80dab940287371279850f542ff26e3,4
1690,obj:b9f4a7f98b06383754072a85e1408d123307fe9d2e525d4f200383ce054fccfb,4
1691,obj:45a021e0b176bb09fa26806d2f77b38ec91482a16042f137f004c3de72aad9f4,4
1692,obj:4ed01982625a54d1c74910433c6dfda2a920b756e8feeb7bad9b53db7073f3e1,4
1693,obj:659ec6cef266c7d90b2e96175f6692f30303e642a6dbc6230213f246329df7e0,0
1694,obj:ba775586b5e0ae50fa94520f76bea69e85d3eea424053ba9ff4e0891e9710bd8,2
1695,obj:417488d686d906708c0eb982406b41e59dc4b537828260d0b4296a9f08f14f05,0
1696,obj:b53dc654ee0ad3949e79baa771144ecfe6f2103171dcb8d5481d60fb383a2503,4
1697,obj:ef4064def90a5f48b74a1bbfaeea03d1414962fe44ca512baf238ca19bfa5c5f,4
1698,obj:18aa839fbe8099f30e522443ee8f3f55605a0027ead79bec735248ccb667d8df,3
1699,obj:233edf07c9ed991f1b9a9484592bb601c3af6f99b25b6a20e6f346558915e477,2
1700,obj:a2c5b0c78f2031aa9fa1c6b68bed3c99f793cfa9ed2d32986265331af3f60539,0
1701,obj:336085823e7c86a91c314bbcce5bd287ec3f6e26bad58f669fc31969871a3787,3
1702,obj:567475c1054656b0925bc19e54796047816fbca9eda35b5969cdf9afc1aff5a6,1
1703,obj:71c9b63c7589f928dde668a2f52f42ad98beb1b63f0d9c49807e843634b542b9,0
1704,obj:4b2207295f3634c146902e02d8da48feb066ba1dbb7e29589b6f4a9ab5d2989e,2
1705,obj:06aa8c66d2929d272921cab1354d68a206ac38e1a0e178effe83c30b3565a4fe,0
1706,obj:5ada209b67efbb3df290b61b75caa3e61f0255a506ba9cba07e1e7ab824ebfc7,4
1707,obj:1c76d80be72fad2f9f8e0b4108da7963157dcd8d67bc9724871d220ee35d4fb3,3
1708,obj:062e3bd493249d4ab063b73d560c736d7b81e09dcd32f3b9dc70f367732085b7,1
1709,obj:da8d0309dcae2c4446207776804f1db6bbf8b88db67769d284ff804b514d7bac,4
1710,obj:d7f7393db54864f13ceef96fb9585c1e57b4c3ab161fa1099cf5b6138d2cf542,2
1711,obj:e43425a101ab6f8bb3df02064f38032e430bf03cf62b6df144911f86876e9535,3
1712,obj:c5455fc42acd6e368b17e5cadf5d189803be1705ed0ed40ab00ba66dd986d644,2
1713,obj:12e727ded497751d37a957cacf2c84c135cf65f590fc8bf93202ea4dde469f98,1
1714,obj:eaad3ec91ca03dd80c5a89b853231666bbe3343d0fcd6340f35c45c04d3e81dc,0
1715,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
1716,obj:8817a9c3caba45ff8e1c5722fe6a346e5fae5e3affa5ce4b223ea060628accbf,0
1717,obj:3922eb4fe458b8c1b26f9a73402394701a16478311254ee33a5038712e011a83,0
1718,obj:623bc8285c3849493489966bd0ff1b67cdcd2275db132aabc627c308cadb7126,2
1719,obj:b8e9098b4676c78aeaaf02dbceb545bbc5bf735cc309a5aa12601d37000ff176,4
1720,obj:04bbdcb181fc1fd02d005265938aff3897a51617987fe81f8b82aaac1dccfdd9,3
1721,obj:0a07f1896ade0e2c3ca219526da56c4e090296401aab56f29bcdd16fa9c5c0e3,1
1722,obj:e3dcd2e89f2663987860fe985f8492cb6f044371fdc02a211b60fec7eea44686,2
1723,obj:b01a8b916c6c97834f5b640aaa03e83e45b311ecb99e6f09eab2a7faad1bbc67,2
1724,obj:467ed4dc5d7cffc486e70d85145bdd0a7decdcbaf527f8cf038b90e0d8a5ea62,4
1725,obj:4994774694a9ef7a4e6c651c692f7339893a3e22fea05ee3aa2ca185d3ed62dd,4
1726,obj:8c052d280a6f9a15a48e1771f829f7952f1be9482820f41b400e86982cde00ae,0
1727,obj:00266803d61bb3bf4155df83ad139ac911ff542aa00d8bb65cba2de6cf22152e,4
1728,obj:e73ab9e1b59547a7d30dace66d521f0a81a80237990d243310df7106ce32e575,1
1729,obj:6d0f778432c16ea5fc3f15e11eec1e87d7e437a3d04b32fc075e9890f54d7f5d,3
1730,obj:bf4ac1f5b120f5c6b953d1cca9a0414ead41cb8a002165288ca78f1090cf64f8,4
1731,obj:327dbdab56a83001daece5fe35d8f78a4e249d4e7444dec1651d42b0de4ae0f5,1
1732,obj:3087ba15a79b801ecad22fc90f88eb80c033293e9a45705429c8a0a6099eff3a,4
1733,obj:95bc153211458519b75c46ed91dfe32f2f5114d001d1d588ed563b611e57aeb6,2
1734,obj:71c9b63c7589f928dde668a2f52f42ad98beb1b63f0d9c49807e843634b542b9,0
1735,obj:0eb7709d661e00e005d4c7e909480c3b5bcc09b5610b17f3055117468fef6a99,4
1736,obj:cf2a7eb3e49f140186c1263ce694b11489b7f8beb237d8930becff0403e2ffc0,1
1737,obj:61d2f917bd1ee7a1daec314702fe9fc16d30c625f60b9b4b5fd33d1cf6367563,0
1738,obj:cb6ae23bd20e3d5fa051a48a74bee31f81e535ec6e5600883d56e0f4792715de,3
1739,obj:d7cddd8eef04e1e788ec3e029c0392808620894f7eb753d1c47d8e955f505ec6,2
1740,obj:406153420f6ff0d0d6275fe7996d2877d3e62f66e44e126cb3c3b45dbc088317,4
1741,obj:8ed241e9e66f276f258064907cabeda0ba53afdb0234d6f7ecfc6b7640f12986,0
1742,obj:99498c4cc636776e8ee2b09a2b8ba823d76b63372151f6af806c32be3463b1cd,1
1743,obj:ada0c529e4fbfc88ed0a17d3adae4e82f52734bb52c674fbd5e39a2d1ba2f25e,3
1744,obj:00266803d61bb3bf4155df83ad139ac911ff542aa00d8bb65cba2de6cf22152e,4
1745,obj:88bf48c888851646c6d8a91cd72e97d22d9858b4c868602864f9b3921ec7099f,1
1746,obj:bf351c9491211ecbf753bf9f089b41128a59cd291a7e1142d5d2105bd3ce3e8f,4
1747,obj:cb82bc92e39b6d517d6ea24c06730eb49c4373de3a2557884309bd20252d75c9,1
1748,obj:87554a1849b5048ab4589378b1e4086a15bfd868e0fbbbdc0a78b32aee1217cf,2
1749,obj:6ef0468a25ec9ba830573a3824d793e9527c0034938d9b6cc0d9b155f192c09c,2
1750,obj:b4a9e5a5d3d453d9a2d86d6f2676fbc363381514b40bc43c95db5428dc3d749f,2
1751,obj:58e3cab8abafb25fdd836aab6be90b702271859d34fb44e2ed3f89200627eaea,1
1752,obj:65550a8ff06787c9093bd33522a47c88cdae7a4803919b88575768fc1ac13982,0
1753,obj:d03d14ba9c06f6bbd411f46fef27cdaaf4e48ebd84e48b2dc413a145fc91fc95,3
1754,obj:79e0093b5ba67fe5af2ea5acea2a91e93f762317de571fcb41892d8da0265ae7,2
1755,obj:5370a3e5f165f7d5d3bc88576339e09c8b89ae0f7ee094133fbc7bf8a488c605,3
1756,obj:83e179c685de4b4d6e0ad8503d74d99156057a9d3b5e7b89e237fd3ccdfee603,1
1757,obj:8e467c1db4c002a81ef30f4911620fe709877434588eb2f7cfa2331df6e517db,1
1758,obj:dbdb03bb7b9f781c10a2199dd091fdc2315e0e44c31812ea3e0cc288acfbcd54,1
1759,obj:e0bf84cd5cddb2def23c5f0278ff4c22d6f8adc843beb1c01ed7c0b516a98b27,4
1760,obj:694ff311ec5f7f7d4e822115665b7c8248c3e6ddc358a4e11a47284883a013b1,1
1761,obj:dd9bf9ad4198e4f5bcd17a41dcd123283d83bf1f6e6935a6e221a4579fdce92f,3
1762,obj:1b45c5b68b3f5cf152fcf24404f9f19c1968dc7887286720daff04c65f55bfb3,3
1763,obj:c6df10b419d92b6b5bc70282e76dd06470d4f35e2bff29147ea3c859f4106ca5,0
1764,obj:4a81dc3adaff0e4807d8873ee01d9089c252fe547236d5ef7640e73aee81eed5,3
1765,obj:a1b21fe78bdf6e199d0001de9edf1b6c26affe042be01a4e3f318f3e9e29ff0c,1
1766,obj:ff89ef3b8766ce96afe76e5429b9d770f242e71cc6a3b73d8ebbf321856a90b5,3
1767,obj:268b43e49340118423d486c966f210f812306b7df6da4d2ee918c374d7bf912c,0
1768,obj:17c264167b47eb44607ae9eee12f5d325d5c74ce37d0eb2ec73716c98019cb81,4
1769,obj:dfe0242cdf2ab9da362a859c38d95acc1f82c9721e69114ed95de37b36e8cd87,3
1770,obj:e73ab9e1b59547a7d30dace66d521f0a81a80237990d243310df7106ce32e575,1
1771,obj:9092fea0ed1ffa5ffbbc1bcd4fe3015467de4bb65e045df11afca1a5a923b50a,0
1772,obj:9591d94a12376ed42db708271d0f08ee02c7d1b038b1714d1f90f1bab78bf1b2,2
1773,obj:c0ed34bb09ad286cdea595a3e74c34b9e2a786053000b2efb99022565f37e384,0
1774,obj:ca8395ddad9afb12a69f9e233e29441610aa0f7e8bc8ea8563bed414033db0fe,0
1775,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
1776,obj:8d6db669af0ebbc49893517bf8dec6746a8bbb9bef61eaf2ea1e4f0f258111a2,4
1777,obj:0986b9d72056ad1573250b4be365c67ce417eb5280e306b7d87e1ca6adf4a6c8,2
1778,obj:eccf608ab1311c270972b2bde1b11074b67e485d7b362f2b1b5dd693acc6a8d1,4
1779,obj:e857b470710f0bdb919d44a1621d6304935c18f2e2b30cc6f781fb188ee455c6,0
1780,obj:a0d35acfcf29b6d09f552204be1307035246f0dbd040b5e30a0c63f2abc40567,2
1781,obj:1b45c5b68b3f5cf152fcf24404f9f19c1968dc7887286720daff04c65f55bfb3,3
1782,obj:f6b6c47730b7bda40a835130765d2818109d5003065cde4ac525b9d6d62ba65d,3
1783,obj:385834cdc79086358d9586d671fb157483a4a224e7ff34982ae5bbd4485b9f14,1
1784,obj:708ba303e1c27924a15425955d4bdb79662833c608a103ea5a009dcffeb4a23c,4
1785,obj:843d8180933b4e1633557a57c679ad6139b99fe5a254b00bdd6b121a72b9ede1,0
1786,obj:31356ad2bb7a0aa79ebf3aa1fa650e0355f5c802f10b01859e861ae39ac2c590,3
1787,obj:66e095f46a78abf7cfabbd2b8241a8209d305593b8e38c02f5868efbc32131f1,1
1788,obj:97f0f6ab1cc802c5729dad681328513cacb64bd81421985ac574e7adf93681eb,2
1789,obj:7145159f6c4158f1129827e7d378ed7f843269e554582c5922d0baf0badc977e,2
1790,obj:5ada209b67efbb3df290b61b75caa3e61f0255a506ba9cba07e1e7ab824ebfc7,4
1791,obj:188a399e6e6902d06f0418e77e8f9d3fc4b4dbad6b0a99bb4109bfd837f12ff1,3
1792,obj:db67588bae68c66cb267dc4150d77b62a2f1e33f9434e1beafaa47ee48261de5,4
1793,obj:171c5e0dcb8dd269b317871f3752bf7986508e79ea733199c72e15997e80165d,1
1794,obj:c7588ab736da0cd0e738bd30526126dd5c97f420938d504b16d426a5c38a8f6d,2
1795,obj:468b64cb14e27ef1c10a625eeaefee78a7abb6ef4e080f569c30b53613792247,1
1796,obj:bbc4a7785c9d389187a2dabd1f4bbba0a1f8397f0937d559bef4fdd7bba5153f,2
1797,obj:793eb06fe3bb7862265036c27d7eb0d20ce5995f28f732b8ba9261a84acb7e12,1
1798,obj:435c0d89d74d1e66841c23c08a759dc0c17b92e881fe647a6e7cbfa59741743f,4
1799,obj:abf156df9d1c1811c5cb3e644db7ad0d37f0b8c06581b6589f8ad2305621efe1,2
1800,obj:0108a026112f3e301d954e729fb6c31561b51d2391e706ef5b6c8a1f41b5af35,1
1801,obj:45362a75000c084757cd08479e4fa728ab9eff667078384c98e1758239c63d54,3
1802,obj:3a04313c6446c1d8c4ff251259828db9ee9278b36b23b5e68dfe08c1cbbec70f,4
1803,obj:acbbd7aec28c19a54b2dfc089a03a3b647d18549357f74207bb977063d64818f,0
1804,obj:f74f2b6f0c388e28da791bfbd73434e571e6baa2cc839c8206d3d389496faed8,0
1805,obj:6ad40eed9f6ba480aa72a99ecde93d0724ee84b048aa801c9c3dac88d69a81cf,4
1806,obj:84bca7752b7f3b6df29469b0dd917ada208bf8fd99f9f9330ea20b31ce583f33,0
1807,obj:2ee4c5b9d53f1019007b539203058ea69515274b0b3c7f7be7fcf53ab5af8b06,4
1808,obj:a7da16617bbe25866dd433ffc0f0f9b188a0dbe03f46970c881abf0cb0ca2235,2
1809,obj:49c8aa80aa82d7c166eb08e872e16dfee8aa16757f1f6824abd96381c386d37a,2
1810,obj:34412624ee154ab87e337844cd36ee98e681770e2cfccf77f4ade43e883e370a,0
1811,obj:853e31aae9ccbd809a3f5dfc69c63d9d87feee6906381b55e2ed1687040d5b52,4
1812,obj:4a81dc3adaff0e4807d8873ee01d9089c252fe547236d5ef7640e73aee81eed5,3
1813,obj:215dfcfc2d8f79e778179e5315cf152791dd354359fc31d9b2988c001b0cc6c9,3
1814,obj:d6d685bd1d2035db10c9e6c8c71172d6037c6eea7eac718cdd7e6bec84bbd46f,1
1815,obj:d8249e88b946b57b93789a90872cedd073bb240cd25f5949ddd095fba4db231c,3
1816,obj:a5024b8312869646fd7f7d49edca7f47d8b0bff9dfe7200660eb19ee3c16dae8,2
1817,obj:f7e412a26d4bf99df7076b17caa9ce1e93eec7b6ba1ee9dd52a807032f807bb5,2
1818,obj:7534f2e6a1e4d1d84c3f63f3c6ef185904907fa5acd02e69ef55104eed8156b0,2
1819,obj:6f42c582dd6e7b27eddd6730b11995ca503093dad0f4987c546821d807630805,4
1820,obj:4ff5c5997a9c3f3e405c9da202d0a73d3c3550cc47665f56e42965de84175b6b,2
1821,obj:c15444210c0b58f0d340616dc279b155aa5fc64daeda15ed001651c2b092ac41,4
1822,obj:4f153554d2d7f328fc6beb76490d470fd0ec26a865be67863906a6306d19f8c6,4
1823,obj:c0d7e24c787ee4ad9b315ce045767da21fd8d2b2b36b54807e81350f262baaf7,4
1824,obj:c00fedb3947624b3d2dc9e29eb7594728a1fdb644372e8668398acc775798979,2
1825,obj:b6af99255d06931f7a0eaea52d4b842a256e57e6d81ce25bb3d1c503a58d2fc1,0
1826,obj:156db8ce2b420c3cb89cba3777b23785606de1165e661eef04ae4fab34fa53c8,0
1827,obj:536467d4ee88ce613e66498f92789eee5e830a85f869e0e2bec01b848433db07,2
1828,obj:e185f3cb87dd6f96ecd6dcb725a2ef73b0afeac90bea1f6f6108eb004dcb9be4,4
1829,obj:7ad8cbb0d2e8124a5775fb5fe07c994343a6265b69c13bb0d02a66a0dda46686,2
1830,obj:d7f75703ce124b8c103da9da01846c5876069d8e711aa6754419942516b6ca89,4
1831,obj:8f3ca1dbc0794169918a53da5df849605861dd54bd45027a789dbe452a85db48,0
1832,obj:f90f7e21e775b08093260038a6502ea5b7e22cd9b7c24acad76a2c7e1ed4f9d0,3
1833,obj:960a0fcdda5e5e5db03728b38e34381150fe620a9d8788effb7752fc47c69b7d,4
1834,obj:e869fa3e15b9ee77d23fb3c1f67413ee3a2e62ee5c918a89c27fbed851b94ab9,2
1835,obj:a546ffc670fefe1134bb54420bcbd7475435f0091590916c4f48ae44f2ec87ef,1
1836,obj:5c83acccf968597080b7d1e424bb3953dfc6caf6b244980908beb2d25eb753c1,4
1837,obj:2c0f34b8bf9d8e437546226233253b64334ab8fd0463a73b74d18d9874532949,2
1838,obj:43361025cef17fdc465a814dcfaf492cb29bbe0e464486380a11e788902179ad,3
1839,obj:718ed53c6cb089ec92034b95cd75d5ed4efed8683c3793738add57b3992d0f08,1
1840,obj:8ed241e9e66f276f258064907cabeda0ba53afdb0234d6f7ecfc6b7640f12986,0
1841,obj:3a270f220e9f7d1f03d8fa06f74d18310900b9ea838e4941b168964a6e714dc6,4
1842,obj:764ece5cd1149cbd500c8e1cd3c5bc6b48892789771944cee2e011171ef19f90,3
1843,obj:a9974f1de4e60c550662eb080bcdda27a65ee874416ba97003e3de96c28ca97e,1
1844,obj:c55608048b70caa66993842cb0629968de95c14d3c8c6dfbd115c8fa81ce2873,2
1845,obj:22b71aaf7febd3ecf1d26705b2a651de070cce606513fbd9b11941f763d18e33,1
1846,obj:1b45c5b68b3f5cf152fcf24404f9f19c1968dc7887286720daff04c65f55bfb3,3
1847,obj:3d6dfebb1955a4d6787bc1725e7bcdd370a961a3da00d8862114768813752f19,0
1848,obj:a0758ab2a908180dff98fd16e6495440183b176d2fc3c4be5a760d6609ecf564,2
1849,obj:b22b996fa01bce2e127a937b594a2adc4d0af05c7cf0337acd87a109d5b1548d,4
1850,obj:f031f2802f34466a42e92f5d1f956d92308d57eec0db8f8fe96cf74f222dc680,2
1851,obj:abf99b43746bafa82f0bc698000dec3c1ce8a24928f24fbe639fed8197e9900b,2
1852,obj:cbfce3044d1a5f6ee5473f01458826757031eee2d6c43bd34e888ef316a66008,1
1853,obj:a6805e030250838b1ab5eb44e80925c8c4bbf566b215f1b7ceb8775d32506264,2
1854,obj:a93ff48a4a0befb8c12eae8dd7a36bbb62f7e8bcf9646935d341b66ac06007b6,1
1855,obj:c3c9cd9a75e3c8052891b21dacdcdb03a83664c2a304150a830731b7a87f1878,0
1856,obj:0140edfa0a133a8bde8fb1b0c73ad636b429487c3c3c82e963a1f25c21879ec5,2
1857,obj:803dbc337ee3a2a51c1efa65d31bbb47d118a232c4f6bd74364e155d1b746b5e,4
1858,obj:6ad40eed9f6ba480aa72a99ecde93d0724ee84b048aa801c9c3dac88d69a81cf,4
1859,obj:4b84729c08bc2842b7499d6ad7f141ec6890a1516f3c392da4d40162cbc1dd88,0
1860,obj:dd800cadb77067c0e881d10dcf9cf70b56c88b4a82611b4f71679b184d4a34c1,3
1861,obj:0bea36dfe869410e0a45d68171a865a602297d5aae75cab85e2342119017bcae,1
1862,obj:e185f3cb87dd6f96ecd6dcb725a2ef73b0afeac90bea1f6f6108eb004dcb9be4,4
1863,obj:a1cdc7932545ff75a866ffde92c5b40a7108e2555c67fe2cecbc6212b6382c9a,3
1864,obj:3d8d7de877cf425a4fa630c94d8b4e140324ec8fdc9d342c0e13c6df8680fd57,1
1865,obj:a878e486460d2af67977807cb155958b6bf6de4ddb8b638911f5782c91cf73e0,2
1866,obj:73d8918c4a67b4e5d5d90ebb4a11719e7ebfe2431e963c926993195be652b3df,1
1867,obj:11b50a012bca46773ec2e346fb7169eff4e84a683767add2386b60cac88be307,1
1868,obj:f63840b2444e30a21d6d0dcb0b96e5765c5263b6eab7d3c026b741c6edff8e13,3
1869,obj:3b8bf6271621b83e6ddbae8f0f6f7fc948771b3bdd70374a1481737e7dfb6d3b,1
1870,obj:0449093a43546338714fbf0c7067bd88b1f34025b946d5ffff0e94c1855d71d6,0
1871,obj:0449093a43546338714fbf0c7067bd88b1f34025b946d5ffff0e94c1855d71d6,0
1872,obj:e9878c4308d43a4bcab4c0b595df3d51b5b7e300600abbd46d0ec2a67a6e0406,1
1873,obj:3243dd0910258b266bb13470194a76b47fa283154a20865f5dd07122a3bf9037,0
1874,obj:cb6cc8966f41913f175dc58ffbb0889183873ef336141fc98fd46cd2b766868b,3
1875,obj:7d76a8ac29a79914ddcda4ec2ee22a5902e164b0b8867ec83f62353e4cfc66e1,3
1876,obj:84f7b045f98e39ca3c242129349c0f7de10bb8d09c553fa8c49642000e6ef642,3
1877,obj:b0166209217d4adbd7926f141c7e600daeb46b28fc8e428e8dd703f0159982f5,3
1878,obj:2d305cf10fbb2031ebdcc22cc816a918c53a47df7a70eb307ecd6c9529c16648,4
1879,obj:42dd8e966f03d22ba1d54496728ba67cb27cb50a54c67aead9aabec96afd5988,0
1880,obj:0bce5c19f33a48f32e4ec0899c403aeef98ab5985364afd20cfd4b4838c6b1e4,1
1881,obj:4d11961e5f807ad9f6df0ae8e299dc67c12fbd203a306c3ddef1dbbad7417e9e,4
1882,obj:424e955b1b61aa324b91e441625d850e0d7bfa72b1d21ff53897b5125f27d5cd,2
1883,obj:e10fde774895449ce1b959293ab895dd04e6cef96a40e0b1d6135f0000ae2b64,1
1884,obj:8ea4f32b1749c0d7ab726d89c088a94fcd45eae5fc5c8302a0476b096bfb7714,2
1885,obj:a3cbfc4a0d3db8e888d5437bfeb68adf952927fcd6b5edc78135f759c26f53ae,4
1886,obj:119568904906632859e5aca85087a5f8d5a0fa4b369a3a16bfb59526dce430a9,3
1887,obj:7d233730421745a4878a97314267554297ec3f82fa39dac2b7735ad0038f86dd,3
1888,obj:8cc407c459441462a382bd40856809b1fc3a5fe9ed8583704f6e62fbf9ab1f08,3
1889,obj:b8c83b8e751d29ace7673cef59f8e09559d1f64d1276b3cceaf317cc083e1272,3
1890,obj:3a270f220e9f7d1f03d8fa06f74d18310900b9ea838e4941b168964a6e714dc6,4
1891,obj:3128629e86261756349b9a2bebbd454a1fbaafb18dc815ed959ddc9c402442df,3
1892,obj:09a3effed1840cb8c82469b0bb452f577b68895579f6cb9eb25bcc7c792253d7,2
1893,obj:106770cb7a7fc11ebf90d812ee969cf37133e45f34430c9407e16b241a959844,1
1894,obj:f41f8f694efffe7106adb9002b3ef5920f971d34416c529566656d6bbc75a579,4
1895,obj:7269b69f96c92909a252f9350bae8e7386d74dece658b66f8964ae7b66ab63fc,3
1896,obj:88cb42c6d170d87192ef8e3d33598d56f3cdddebc8d97393ab0d1539ce77e5ed,4
1897,obj:0cfd26ed4bfe4a06639828239c9c3efece889671410e0a5252580e77f93ea1eb,1
1898,obj:6ad40eed9f6ba480aa72a99ecde93d0724ee84b048aa801c9c3dac88d69a81cf,4
1899,obj:6d66e7a062bcf087210b4961619d1478e6cd09f76be55121458b089655edfac2,2
1900,obj:ed07405483b75e34e1973158a9165f63448d3a422623b8fcfb55fa2d5a50e5d2,3
1901,obj:65eef277473fb57d85d9eae0733985511d6a0a093c1d78d29acfca7737a1777d,1
1902,obj:34c7f48391498258c43d8e1d5039c78a38e45a63f892e3c98b19d66f21c06808,1
1903,obj:ea2a4af2d1429f35478b1f390047c395025a69ee6334ad24999936761562f360,0
